Country Name,Country Code,Time,Time Code,CO2 emissions (kg per PPP $ of GDP) [EN.ATM.CO2E.PP.GD],"Intentional homicides (per 100,000 people) [VC.IHR.PSRC.P5]",General government final consumption expenditure (% of GDP) [NE.CON.GOVT.ZS],"Community health workers (per 1,000 people) [SH.MED.CMHW.P3]","School enrollment, tertiary (% gross) [SE.TER.ENRR]","School enrollment, secondary (% gross) [SE.SEC.ENRR]","Unemployment, total (% of total labor force) (national estimate) [SL.UEM.TOTL.NE.ZS]","Unemployment, youth total (% of total labor force ages 15-24) (national estimate) [SL.UEM.1524.NE.ZS]",Gross capital formation (% of GDP) [NE.GDI.TOTL.ZS],Gross domestic savings (% of GDP) [NY.GDS.TOTL.ZS],"Government expenditure per student, tertiary (% of GDP per capita) [SE.XPD.TERT.PC.ZS]","Government expenditure per student, secondary (% of GDP per capita) [SE.XPD.SECO.PC.ZS]","Government expenditure on education, total (% of GDP) [SE.XPD.TOTL.GD.ZS]","Life expectancy at birth, total (years) [SP.DYN.LE00.IN]","Age dependency ratio, young (% of working-age population) [SP.POP.DPND.YG]","GDP per capita, PPP (constant 2017 international $) [NY.GDP.PCAP.PP.KD]",GDP per capita (constant 2015 US$) [NY.GDP.PCAP.KD],"Foreign direct investment, net inflows (% of GDP) [BX.KLT.DINV.WD.GD.ZS]",GDP per capita growth (annual %) [NY.GDP.PCAP.KD.ZG],Market capitalization of listed domestic companies (% of GDP) [CM.MKT.LCAP.GD.ZS],Trade (% of GDP) [NE.TRD.GNFS.ZS],"Inflation, consumer prices (annual %) [FP.CPI.TOTL.ZG]",Net migration [SM.POP.NETM],Strength of legal rights index (0=weak to 12=strong) [IC.LGL.CRED.XQ],"Mortality rate, under-5 (per 1,000 live births) [SH.DYN.MORT]",Gini index [SI.POV.GINI],Net primary income (Net income from abroad) (constant LCU) [NY.GSR.NFCY.KN],Population growth (annual %) [SP.POP.GROW],"Secondary education, teachers [SE.SEC.TCHR]",Lending interest rate (%) [FR.INR.LEND]
Austria,AUT,2019,YR2019,0.122054424051266,0.867123024880969,19.4593875451778,..,86.4755325317383,100.193702697754,4.56,8.79,25.3485929459747,28.9883559549909,..,..,5.21291017532349,81.8951219512195,21.6446443389998,55806.4382499366,46647.0809634335,-2.78754883904721,1.06696970619677,29.9351958823258,107.885997501218,1.53089564152645,41105,4,3.6,30.2,-1059974000,0.444673639004876,74044.0234375,..
Azerbaijan,AZE,2019,YR2019,0.23533761137204,1.64178691697142,11.1234709302752,..,31.5401992797852,94.7754898071289,4.85,12.44,20.3077798481492,31.3698315672766,..,..,2.68108010292053,73.102,35.205928501278,14442.0408668016,5348.26526707105,3.12183056112494,1.63585048130741,..,85.8181454084561,2.61057182799216,392,12,20.4,..,..,0.846646726414021,..,17.2812151745262
"Bahamas, The",BHS,2019,YR2019,0.191301053828557,23.4824758933846,13.7491662118731,..,..,..,..,..,26.3742344309017,25.324419380268,..,..,2.28841996192932,71.205,29.108020292599,35161.8304747379,31082.8060960243,3.65524609173943,1.2284537636035,..,71.9202898550725,2.49123527368055,1001,6,23.4,..,..,0.657441084996389,2356,4.25
Bahrain,BHR,2019,YR2019,0.429103661114633,0.267703840579686,15.6899359524859,..,55.6285095214844,97.112419128418,..,..,32.6369548137386,43.9079560453908,..,..,2.09490990638733,80.019,26.0682843031995,49768.9762142136,23414.2190743533,3.88409032292749,1.69872414350014,69.5471471318735,141.700834964514,1.00582004702132,-17127,3,7.1,..,..,0.459362584678761,9784,..
Bangladesh,BGD,2019,YR2019,0.0962105913483642,..,6.23818877148586,..,24.0121288299561,72.5581359863281,..,..,32.2137298382397,26.8843890118576,..,..,1.97184658050537,72.806,41.1300141251089,5467.20794773827,1557.96529123717,0.543233593964918,6.68766272688883,18.3398217232684,31.5780512814675,5.59199639930633,-344054,5,30.4,..,..,1.1131724900167,..,9.55583333333333
Barbados,BRB,2019,YR2019,0.268298373747225,17.1318743876693,10.9067004742452,..,..,102.70719909668,8.41,26.03,14.4949992956754,16.0041320373762,..,..,3.20398998260498,77.257,25.977322638916,15954.802664829,17168.1456868491,4.04507918673992,-0.306518356186047,63.8211954735409,74.4527398225102,4.10028964518463,-65,6,12.7,..,..,0.175755759089405,1092,8.05
Belarus,BLR,2019,YR2019,0.304708503624731,2.32582876256296,16.8429795126774,..,87.7572402954102,102.077308654785,4.16,10.21,29.1499946931726,29.1933399687231,..,..,4.97947978973389,74.2268292682927,25.1040727797728,19279.209247881,6264.86096486176,1.9768777744873,1.60481819172,..,130.850406102184,5.59815595039853,15082,3,3.1,25.3,..,-0.201786600970723,73959,9.02333333333333
Belgium,BEL,2019,YR2019,0.14519989718214,..,23.0260840497655,..,80.1381683349609,156.080612182617,5.36,14.24,25.0126711863699,25.6408611810423,..,..,6.33975982666016,81.9951219512195,26.3192613122256,51977.1853280951,43098.4847198889,-3.99005372056347,1.68977647446013,..,164.176916086035,1.43681956996435,54395,8,4.1,27.2,4327215000,0.540461327098122,131831,..
Belize,BLZ,2019,YR2019,0.174750137142912,34.4388902453128,18.5392096006621,..,24.9911003112793,86.3856735229492,9.05,19.3,16.8011587006,23.8361266294227,..,..,7.1383900642395,73.931,44.524008960748,9028.55148483032,5907.34887238917,3.88620905041892,2.61421723235857,..,100.931098696462,0.187069385181357,1164,4,12.3,..,..,1.82301611890652,2445,9.06666666666667
Benin,BEN,2019,YR2019,0.180560504180605,..,10.3420632400446,..,11.1413803100586,..,..,..,25.6298005790604,21.2095226507401,..,..,2.96519994735718,60.454,79.2216290947962,3156.43895692884,1153.72620998083,1.51620780935646,3.82450756460371,..,63.68133231423,-0.70502663454275,3363,6,88.6,..,..,2.88707408493347,..,6.68833333333333
Bermuda,BMU,2019,YR2019,..,0,12.2567291689258,..,..,..,..,..,14.7485170334877,39.5676143148786,..,..,1.92723786830902,81.033,22.3812316715543,81681.7266682559,107036.239271085,0.0591344675296509,0.317253010947766,39.9449583179822,77.5601016506443,..,290,..,..,..,..,-0.0109521313739413,..,..
Bhutan,BTN,2019,YR2019,0.111678092502292,1.04240096213609,18.2584530997337,..,15.5683002471924,..,2.72,11.85,37.8635273258425,23.6130447133349,..,..,5.67544555664063,71.391,34.8448843404735,11797.2841991497,3219.64367070669,0.51313631659876,5.01615334637737,..,82.1286054789405,2.72643037388825,291,4,28.5,..,..,0.701252583573764,..,14
Bolivia,BOL,2019,YR2019,0.213408729778389,4.21997731316422,18.1430920033366,..,..,89.9824600219727,3.68,7.07,19.875010901565,13.4122287404883,..,..,7.67268991470337,67.841,50.0877785606247,8528.74880229752,3242.94884340563,-0.529735011404666,0.737697291142965,..,56.3973067329667,1.83954504969032,-8978,0,26.6,41.6,..,1.45750439141779,67183,8.39953170954602
Bosnia and Herzegovina,BIH,2019,YR2019,0.394291543025502,1.24973536109839,19.4174528424837,..,40.1903495788574,..,15.69,33.79,25.1880795739952,7.06985078544297,..,..,..,77.241,22.0269424905748,14632.1258848123,5476.35576227301,2.21693353916718,4.03711287511099,..,95.8259282873474,0.562782154061303,-27848,7,5.9,..,..,-1.16608133465016,27311,3.28722715810128
Botswana,BWA,2019,YR2019,0.184141773234464,..,31.6984532005157,..,25.0813903808594,..,20.09,35.51,30.8756872827756,23.969285443978,..,..,6.91437005996704,65.464,52.9329447837986,15117.9949961611,6485.45726726932,0.560658416764816,1.04206015193537,..,83.2419284512776,2.7728644286333,2933,5,37.7,..,..,1.95085634796209,..,6.39583333333333
Brazil,BRA,2019,YR2019,0.133988081543807,20.8104641962605,19.9835812831035,..,55.1362991333008,103.953277587891,11.94,27.01,15.5167908269592,14.8723713302687,..,..,5.96346998214722,75.338,30.2680928529134,14685.1278924673,8592.22153753537,3.69270036167182,0.448280407148658,63.3842895220697,28.8902578692948,3.73297621216894,69186,2,14.9,53.5,..,0.766107802084815,1367821,37.475
Brunei Darussalam,BRN,2019,YR2019,0.249129789126355,..,25.0403962194955,..,30.7712001800537,92.0957183837891,6.6,20.37,38.6777534991209,54.5082296331228,..,..,..,74.748,31.8808198396628,61424.3643132688,30313.6563877064,2.77114148390794,2.9742261522544,..,108.509658357959,-0.390522069165492,-587,12,11.4,..,..,0.865282211615446,5222,5.5
Bulgaria,BGR,2019,YR2019,0.222934191916413,1.17688228851709,16.7031839271383,..,73.3791732788086,92.3925933837891,4.23,8.9,20.9977498095992,24.2259848858477,..,..,4.19717979431152,75.1121951219512,21.9760881628856,23266.0693152803,8234.83966944834,3.22313254106028,4.77305607323567,23.2167986696306,124.63959983931,3.10372944796774,-11439,8,6.7,40.3,..,-0.703905641117455,39185,4.54920833333333
Burkina Faso,BFA,2019,YR2019,0.108600963495949,..,20.2434764808458,..,7.09612989425659,41.3111000061035,..,..,22.2083448347865,18.7763997074405,..,..,5.69684982299805,60.039,84.8988526477068,2110.06231119074,716.012194964082,1.00734644615815,2.8687281522254,..,58.6641672388108,-3.23338933983321,-25277,6,88.2,..,..,2.70387556725288,60400,6.68833333333333
Burundi,BDI,2019,YR2019,0.0798116473570657,..,27.2447699999999,..,3.92356991767883,45.091251373291,..,..,14.1287,-4.55341999999998,..,..,5.34668016433716,62.351,93.3704914661594,729.65846261506,270.137283068899,0.0405569482468217,-1.45719303361136,..,29.0262100000001,-0.686772170797229,14241,2,56.7,..,..,3.26424857025887,25710,14.5333333333333
Cabo Verde,CPV,2019,YR2019,0.156988110743679,5.718935134278,17.6133125497933,..,..,88.9906921386719,11.29,50.38,35.4187615724755,20.8101900131064,..,..,4.73345994949341,76.004,40.843248035961,6835.07882904702,3318.93278143055,6.20236441706751,4.60050870986409,..,115.907155590446,1.1066667429606,-1296,1,15,..,..,1.01513458042928,3498,9.14083475915223
Cambodia,KHM,2019,YR2019,0.214526174767094,..,4.8067982358684,..,11.8543081283569,..,0.5,1.66,24.2334887287942,25.7249786648438,..,..,2.89662981033325,70.692,45.9923578519785,4464.29444969141,1465.96953538762,13.5220210875004,5.84861969505499,..,123.55652376833,1.94257500833109,-55607,10,26.8,..,..,1.13244216195679,..,..
Cameroon,CMR,2019,YR2019,0.093413665385838,..,12.0963512548066,..,..,44.2781639099121,..,..,18.9346454960496,15.2563137426452,..,..,3.08087992668152,61.584,78.640957463485,3756.50956165869,1454.56406402385,2.58319634858929,0.643223200507023,..,43.3785132480415,2.45280214062733,-12254,6,75.1,..,..,2.7748797807221,..,..
Canada,CAN,2019,YR2019,0.3099556386066,1.83622745922526,20.8335676897876,..,75.6988220214844,114.333267211914,5.66,11.02,22.9825803208073,21.4192569184189,..,..,4.77293014526367,82.2287804878049,24.052563714685,49171.5110858739,45109.2444855151,2.80952227646774,0.426917853285573,138.293784904308,65.4123620794239,1.94926902411596,391914,9,5.2,..,-28038345000,1.43613682316886,..,..
Cayman Islands,CYM,2019,YR2019,..,3.02416306287235,2.35422729575927,..,..,..,..,..,..,..,..,..,2.06455874443054,..,22.5216227553283,72402.8366534326,82139.8961138837,18.1779095052029,1.90976886440704,6.37745970313961,114.809971456912,..,973,..,..,..,..,1.90819265891466,..,..
Central African Republic,CAF,2019,YR2019,0.051852140871862,..,8.0446400022651,..,..,..,..,..,26,-4.13346000146717,..,..,1.76871001720428,55.025,98.582217587363,861.766788755873,381.414045064669,1.15252965125074,0.833009810869896,..,50.0658000014868,2.68537355266785,-36942,6,105.9,..,..,2.22336107125156,..,..
Chad,TCD,2019,YR2019,0.0856160687304364,..,3.58751257827853,..,..,20.5550403594971,..,..,21.4134525838666,20.3273940217763,..,..,2.37245988845825,53.259,95.8366992976688,1561.99667256928,652.703213763469,5.00787790231049,-0.0989585609599004,..,74.5705255558558,-0.971939175419353,-9469,6,114.3,..,..,3.29458272753979,22927,..
Channel Islands,CHI,2019,YR2019,..,..,..,..,..,..,..,..,..,..,..,..,..,81.39,22.3694351353926,..,..,..,..,..,..,..,1566,..,..,..,..,1.27783031331199,..,..
Chile,CHL,2019,YR2019,0.187395780091595,3.9444343178286,15.2250792613683,..,93.1011276245117,103.665161132813,7.27,19.55,25.0545675853349,23.1948569162819,..,..,5.61812019348145,80.326,27.2657139501528,24816.6110833991,13765.118249803,4.87431268307831,-1.01858282924621,73.1524831709444,57.5279738495935,2.55754475703323,230162,4,7.1,..,..,1.7913919716665,87495.4609375,..
China,CHN,2019,YR2019,0.456755466429546,0.518966640910828,16.7705109115132,..,53.7649116516113,..,5.15,11.83,43.2511056433421,43.9814269577691,..,..,3.53999996185303,77.968,26.1940058962548,15977.763827981,10155.4929447833,1.31071877840365,5.57531686294364,59.6326446081317,35.8900960342649,2.89923416358227,-302609,3,8,38.2,..,0.354740890170827,6474893,4.35
Colombia,COL,2019,YR2019,0.101732507895272,25.7534726366066,15.7732334152149,..,54.9765205383301,100.806312561035,10.28,20.66,21.3806095458027,15.5581528732119,..,..,4.5062198638916,76.752,32.141525545825,14616.1351241706,6403.87709573135,4.32953914559878,1.31495237842461,40.8654847817487,37.558533980839,3.52301932741443,395803,11,13.7,51.3,..,1.83074694246543,187993,11.7690653821827
Comoros,COM,2019,YR2019,0.118036897894138,..,10.0948841035328,..,..,..,..,..,12.7348062616273,-3.98635100834592,..,..,..,64.068,67.8834059827638,3290.65052676586,1381.62215537536,0.359894022954973,-0.126909212225328,..,42.2680785350184,..,-2917,6,53.1,..,..,1.87244791212477,..,10.5
"Congo, Dem. Rep.",COD,2019,YR2019,0.0323199258920995,..,6.92914731915532,..,..,..,..,..,20.5945396795551,17.0947118419777,..,..,..,60.276,91.8776380686259,1059.89211136718,494.819226947003,2.60931443738477,1.11096628045726,..,55.2351580391404,..,-144916,6,84.4,..,..,3.18628838899818,..,26.7358333333333
"Congo, Rep.",COG,2019,YR2019,0.338270495436594,..,13.2663890872392,..,..,..,..,..,24.0671394679661,44.6961043406162,..,..,3.57539010047913,62.747,75.482873833189,3695.06169357,1731.79987996869,-11.1971866354654,-2.41258230897023,..,126.955610621621,2.20607305781519,-6271,6,52.4,..,..,2.355238072353,..,..
Costa Rica,CRI,2019,YR2019,0.0716653902832606,11.0727999226674,16.7512009792355,..,57.6748199462891,141.363983154297,10.81,31.05,16.0640851994464,18.9541983004458,..,..,6.79584980010986,79.427,30.8475287787966,20818.061678299,12662.4221428116,4.22094019534647,1.53529056646803,3.44214560563328,65.7605300176622,2.09604635327805,4154,10,8.2,48.2,..,0.865128346659953,37828,8.74614960993387
Cote d'Ivoire,CIV,2019,YR2019,0.0775440456438891,..,10.1132195931221,..,9.95259952545166,54.6129913330078,2.4,4.07,20.058644458292,21.2102851249456,..,..,3.71637988090515,59.319,76.9313785278114,5126.63411463495,2289.37652106313,1.45010160325616,3.57642777119752,13.8370508588426,46.4009144551692,-1.10686343994202,-15520,6,79.7,..,..,2.53128744560298,77178,..
Croatia,HRV,2019,YR2019,0.128672443852954,0.799079557208224,20.6937270428394,..,67.7217483520508,100.119430541992,6.62,16.63,22.8906911986353,22.479259737776,..,..,3.91686010360718,78.4243902439025,22.0187552477829,29347.5482268596,14071.9114694775,6.32260756024268,3.99570051617258,36.0323865945733,101.600508370749,0.771820346498083,-12480,5,4.7,28.9,..,-0.554146739042888,52315,..
Cuba,CUB,2019,YR2019,..,4.4182505026975,32.2320841551611,..,44.2541084289551,100.339622497559,..,..,11.4949530107901,13.1018679661214,..,..,9.04697026271606E-06,77.611,23.2278360446113,..,8042.94852386634,..,-0.0629731044584929,..,22.8207061917469,..,-13686,..,5.2,..,..,-0.101983052203958,79696,..
Curacao,CUW,2019,YR2019,..,..,..,..,16.1014404296875,..,..,..,..,..,..,..,6.3969464302063,..,25.9544104173029,23659.2347332019,17796.699906511,6.78523768647711,-2.20875753020357,..,..,2.62220783425056,-9592,..,..,..,..,-1.19643951751799,..,..
Cyprus,CYP,2019,YR2019,0.18519879944608,1.22066686658477,16.0280625499596,..,88.4853286743164,100.850433349609,7.15,16.87,19.8483264704098,20.8794046105695,..,..,5.25063991546631,81.397,22.8490128337989,41739.46484375,28359.919921875,203.645234538527,4.10745981071929,16.515520564047,151.955184593039,0.250370996758456,4948,7,2.8,31.2,..,0.817517719721429,7179,..
Czechia,CZE,2019,YR2019,0.20410693519367,0.9205768961203,19.5885244197615,..,65.5869827270508,101.301551818848,2.02,5.63,27.6070370740005,33.5955740639123,..,..,4.54337978363037,79.2292682926829,24.665323468319,40989.7266228223,20206.4256384905,4.25745331930823,2.62495626738699,10.4190416274857,141.771023662617,2.84787595918047,4030,7,3,25.3,-319156270000,0.393788864202175,..,3.68603218349692
Denmark,DNK,2019,YR2019,0.0849885410836566,1.13874032545199,24.1281269783016,..,81.8397598266602,129.885025024414,5.02,10.06,21.8530882279229,28.9226237517532,..,..,6.88857984542847,81.4512195121951,25.6856554726968,56813.9641554635,57203.0277943447,-1.09718546490012,1.13065749415978,..,110.224828604234,0.758131572511619,23305,8,3.8,27.7,64422073000,0.358130915892652,54639,..
Djibouti,DJI,2019,YR2019,0.0786988876969572,..,19.8109451971862,..,..,51.9705505371094,..,..,2.28153184175493,14.7780186727159,..,..,..,63.085,49.5414795005797,4768.11300470727,2820.06286565541,5.66550040200762,3.89452918731618,..,320.939002998625,3.31925372703833,1322,8,57.9,..,..,1.57623975223144,2441,..
Dominica,DMA,2019,YR2019,0.181848290082975,18.2001456011648,..,..,..,101.059852600098,..,..,..,..,..,..,5.57618999481201,73.559,28.9270812636598,12395.4204702077,7936.3048182003,10.3084171305166,4.60887025308973,..,..,1.50462353858147,326,6,35.2,..,..,0.850614263332306,496,7.53996066666667
Dominican Republic,DOM,2019,YR2019,0.132148729173397,9.42851570029359,11.0687972697794,..,61.1612281799316,81.5932922363281,6.18,15.69,26.0034870215007,21.1309061831296,..,..,4.04276990890503,73.577,42.6930082234272,18171.0609627655,8205.14240945814,3.18097442749009,3.92893172690793,..,51.0111449209557,1.8106037704296,-29830,1,34.3,41.9,..,1.07497482890671,..,12.4867666666667
Ecuador,ECU,2019,YR2019,0.190849387849847,6.84396771273186,14.4147442397168,..,47.9452285766602,100.568077087402,3.81,8.75,25.9060057243308,25.9259191425864,..,..,4.22565984725952,77.297,41.0080977877614,11390.2169659569,5863.91056629908,0.901434135414544,-1.87968820683531,..,46.0768211909258,0.266012515466136,71801,1,13.4,45.7,..,1.90968326333656,92603.59375,..
"Egypt, Arab Rep.",EGY,2019,YR2019,0.202617332775506,..,7.66050994908025,..,..,89.4806823730469,7.85,19.26,18.2127355743034,9.97350669848368,..,..,2.60999989509583,71.358,53.7581405285496,11180.6970642276,3768.62751137457,2.97283696285301,3.68086224225046,14.5835171454877,43.24045019823,9.15279959324812,-59715,5,20.3,31.9,..,1.79400212546566,594045,16.1166666666667
El Salvador,SLV,2019,YR2019,0.132059384328962,38.18339398145,16.0320209633966,..,29.9244194030762,..,4.17,9.95,18.3447949008115,2.21463821846841,..,..,3.38515996932983,72.559,40.2972676586923,9021.42602229223,4104.91788888425,2.59024369040438,2.37426592723547,..,76.0420130991468,0.0753241350024327,-55143,9,13.3,38.8,..,0.0617207329334854,..,..
Equatorial Guinea,GNQ,2019,YR2019,0.203596756300347,..,25.4606719871873,..,..,..,..,..,10.891703090741,18.2744097617871,..,..,..,61.644,67.0609614809993,16240.3698101562,6472.07086074269,3.97995236553025,-8.58205700032325,..,94.8787924253545,1.23869860205109,14695,6,81.9,..,..,3.33503679402461,..,..
Eritrea,ERI,2019,YR2019,..,..,..,..,..,46.4407920837402,..,..,..,..,..,..,..,67.3,74.6039260519922,..,..,..,..,..,..,..,-29849,0,40.6,..,..,1.53927354632927,7205,..
Estonia,EST,2019,YR2019,0.196823611436344,1.95924986351187,19.5393075206039,..,74.2319869995117,115.605117797852,4.45,11.06,26.0548555766355,30.3013590085981,..,..,5.30190992355347,78.6463414634147,25.8148603248787,36153.4319482746,20269.575137379,9.82202103786608,3.35497243936102,..,143.754530253766,2.27725931243518,5410,7,2.3,30.8,-461350000,0.371554389037477,8861,..
Ethiopia,ETH,2019,YR2019,0.0707542070107311,..,9.19304684825909,..,..,..,..,..,35.2639839212175,22.1246410388773,..,..,4.48086881637573,65.838,72.3810397982954,2181.65887703263,785.485050212771,2.65736063499647,5.52381056763929,..,28.8153010070423,15.8096321719345,-10803,3,50.9,..,..,2.656010133459,..,..
Faroe Islands,FRO,2019,YR2019,..,..,27.5314688515586,..,..,..,..,..,27.8207534215224,30.7291618986589,..,..,7.64010000228882,82.9463414634147,33.6223143611006,..,..,..,..,..,108.31693138646,..,580,..,..,..,..,1.41473188516849,..,..
Fiji,FJI,2019,YR2019,0.128786581935302,..,21.2090052653681,..,53.4931602478027,79.6079940795898,..,..,14.7425258959295,18.0678993552812,..,..,5.06788015365601,67.893,45.1425060768758,13241.3539549648,5679.0507253517,5.87927624170235,-0.524468964168051,..,106.680865836528,1.7731018246027,-11865,5,26.9,30.7,..,-0.0577971466911964,..,6.02745671637929
Finland,FIN,2019,YR2019,0.142293730979104,1.46698296751276,23.1883030793219,..,92.9550094604492,145.318984985352,6.69,17.2,24.0930050279749,24.2468460505799,..,..,6.41710996627808,81.9829268292683,25.5824770862533,48583.4339897935,46135.8814242631,5.81407868801805,1.11326909206437,..,79.605433214652,1.02409392963429,15558,6,2.3,27.7,1159774000,0.110191690491055,39860,..
France,FRA,2019,YR2019,0.0883049008820438,1.1692590431065,22.9835475778777,..,68.3579025268555,104.292991638184,8.41,20.13,24.3646403173568,23.4072779558876,..,..,5.35443019866943,82.8268292682927,28.7262540840549,45922.7947390313,38832.0242014303,1.96049400180615,1.49589898756051,..,64.1414731902028,1.10825492288292,17403,4,4.3,31.2,50508607000,0.341374143157509,457956,..
French Polynesia,PYF,2019,YR2019,..,..,31.3906462752528,..,..,..,..,..,20.7134493599153,3.24865049923321,..,..,..,82.996,32.7640822830935,..,19749.4312702373,0.231052591611857,1.6987679841112,..,55.4651459086638,..,-861,..,..,..,..,0.706823205794027,..,..
Gabon,GAB,2019,YR2019,0.155002121739395,..,10.9934292922959,..,21.0658702850342,73.0632019042969,..,..,21.8987965722319,51.3328535769554,..,..,2.73232007026672,66.603,61.5041654989682,14478.0017220931,6893.32308216157,9.20409835519923,1.56821091959847,..,73.4280894486644,2.46456756151187,2230,6,43.2,..,..,2.28985536531904,9976,..
